Tweet,label
"We don't know who carried out Charlie Hebdo attack. However if they were Muslims, then they are the enemies of me and most other Muslims",NR
Here are some of the satirical pictures Charlie Hebdo have produced #freespeech #BanIslam,NR
CharlieHebdo: Love is stronger than hate.,NR
#CharlieHebdo - Hollande: Media shooting was 'undoubtedly terrorist attack'. Photo: Kenzo Tribouillard #AFP ,NR
Spread this cover in solidarity with the victims at Charlie Hebdo. Don't let the sword conquer the pen,NR
TREND IT #IStandWithFrance,NR
BREAKING: Astonishing video of the Paris terror attack as it was happening,NR
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo,NR
Video of #terrorists attacking Charlie Hebdo HQ in Paris ,NR
"Six days after Charlie Hebdo\u2019s offices were firebombed, their front cover was this. \u201cLove is stronger than hate",NR
Shocked &amp; appalled by senseless attack at 'Charlie Hebdo' - London stands with Paris &amp; the people of France against this horrific scourge,NR
BREAKING: French government raises security alert to highest level after deadly attack at magazine Charlie Hebdo,NR
"Charlie Hebdo, we love you",NR
"Our sympathies &amp; prayers are with the victims, their families &amp; the French people",NR
"I don't support the cartoons or language published by publishers BUT #CharlieHebdo attack is indeed \""sickening\"". 11 dead in #terrorattack",NR
Freedom of expression should never be an act of bravery. Whoever threatens it is an enemy of all freedom-loving people. #CharlieHebdo,NR
Our thoughts go out out to people at Charlie Hebdo and their families. Senseless violence is never the answer.,NR
France raises national alert system to highest level after attack at Charlie Hebdo HQ,NR
"I do not agree with what you have to say, but I'll defend to the death your right to say it - Voltaire #CharlieHebdo",NR
"100 lashes if you don't die of laughter.\"" Eleven people killed over this. #Paris #CharlieHebdo",NR
How to respond to the murderous attack on Charlie Hebdo? Every newspaper in the free world should print this.,NR
There is never justification for violence because one is offended by a cartoon. Ever. #CharlieHebdo ,NR
"Worth remembering Jens Stoltenberg's words after Ut\u00f8ya: \""Our response is more democracy, more openness and more humanity",NR
CharlieHebdo Attack. I have just been asked by AlJazeera if CharlieHebdo journalists should apologize (for making fun at Islamists,NR
At least 11 dead in Muslim terror attack on France.  Show your support by posting Charlie Hebdo cartoons.,NR
LATEST: At least 11 dead in shooting at French magazine #CharlieHebdo; France raises terror alert to highest level,NR
France has a problem (and quite a serious one) #CharlieHebdo ,NR
Masked gunmen pictured near #CharlieHebdo offices ,NR
Fact: Most every journalist in India will stand with #CharlieHebdo. But not one publication will reprint their most controversial work,NR
"We condemn the attack on #CharlieHebdo Whomever the attackers are, and whatever the cause may be, nothing justifies the taking of life",NR
The right 2 draw Muhammad without being shot is as precious to many of us as Muhammad is to the #CharlieHebdo killers,NR
"The 2011 issue of Charlie Hebdo, whose cover featured Mohammed.",NR
Map shows where gun attack on satirical magazine #CharlieHebdo took place in central Paris ,NR
Quran says: Whoever kills an innocent soul.. it is as if they had killed the entire humanity,NR
"Showing solidarity with the victims is necessary, but not enough. We must insist to coexist, and reject those who don't. #CharlieHebdo",NR
Video has emerged showing the moment gunmen opened fire at #CharlieHebdo's HQ in Paris.,NR
Parisian doctor: \Let's all subscribe to #CharlieHebdo...It'll be in my waiting room until I retire,NR
I wish that all news outlets publish #CharlieHebdo 's cartoons\/satire tomorrow on their front pages as a tribute to the dead. ,NR
"Forget truth, today even satire is unacceptable.\n#CharlieHebdo",NR
"I do not agree with what you have to say, but I'll defend to the death your right to say it - Voltaire #CharlieHebdo",NR
Freedom of speech is a right as much as a cause worth fighting for. Obscurantism is a danger made real today ,NR
"In reporting the story, the Telegraph has pixilated Charlie Hebdo's La Vie De Mahomet",NR
Headline from #CharlieHebdo this week: ISIS executes Phorphet Mohamed; police chase terrorists ,NR
"Bad bad day for press freedom, freedom of expression and satire. \nThoughts with relatives of victims at #CharlieHebdo""",NR
"I've seen one national newspaper pixelate out the cover of Charlie Hebdo - the self-censorship begins. Terrorists 1, Enlightenment 0",NR
From 2011: France's Charlie Hebdo newspaper has long reveled in the art of provocation,NR
Time to #TakeAStand #IAmCharlieHebdo #CharlieHebdo,NR
"I'm no fan of #charliehebdo but this is a sickening, terrifying, unjustifiable attack on journalists. My thoughts &amp; prayers with the victims",NR
"Between governrment attacks and terrorist attacks, it's hard to be a journalist these days.",NR
Wide and uncompromising condemnations on Arab Twitter of insane attack on #CharlieHebdo - I hope everyone sees this. Don't focus on fools,NR
I support #CharlieHebdo and a free press. Please RT these cartoons to show a united and dignified defiance.,NR
"Condolences to staff at Charlie Hebdo &amp; their loved ones. They stood for free speech &amp; paid with their lives.  I stand with #CharlieHebdo""",NR
"Utterly disgusting. @AlJazeera blaming free speech and Berlin protests for attack on #CharlieHebdo""",NR
"Sirens on my Paris street. Poor Charlie Hebdo, poor families, poor kids who live here, poor local muslims who will get blame, poor Paris",NR
The attack on #CharlieHebdo is cowardly and senseless.. As a Muslim I am outraged by what happened today. Prayers to the families,NR
Never was it more appropriate to say \u201c \u2018em if they can\u2019t take a joke\u201d. Charlie Hebdo an absolute equal opportunity offender of satire,NR
Good backgrounder from The New Yorker from 2012: The Charlie Hebdo Affair: Laughing at Blasphemy,NR
Never was it more appropriate to say \u201cF*** \u2018em if they can\u2019t take a joke\u201d. Charlie Hebdo an absolute equal opportunity offender of satire,NR
Good backgrounder from The New Yorker from 2012: The Charlie Hebdo Affair: Laughing at Blasphemy,NR
"#CharlieHebdo Satire was the father of true political freedom, born in the 18th century; the scourge of bigots and tyrants. Sing its praises",NR
"It is speculative, but judging by video &amp; imagery from scene of #CharlieHebdo attack, these gunmen are not amateurs - they look experienced",NR
"Journalists, admin staff and police officers among those injured in #CharlieHebdo attack",NR
RAW VIDEO (WARNING GRAPHIC):\nTerror Attack on Charlie Hebdo Paris Headquarters,NR
Killing writers and journalists and cartoonists will not silence them but make their voices louder.\n#CharlieHebdo,NR
Do not share the video of masked gunmen at #CharlieHebdo offices executing a police officer. It is barbaric &amp; his life should be respected.,NR
Attempts to extend blame for this to all Muslims should be treated with the same disgust as attempts to justify the attacks. ,NR
Picture\nIS terrorist scum executes injured police man in #Paris.\n#CharlieHebdo,NR
Satirical French magazine #CharlieHebdo attacked by gunmen: latest news report,NR
#CharlieHebdo: Nothing can justify attack &amp; those who organised &amp; committed these crimes should be brought to justice ,NR
"As a Muslim, killing innocent people in the name of Islam is much, much more offensive to me than any cartoon can ever be. #CharlieHebdo",NR
Oh God my heart is sick at this Charlie Hebdo news. One of the only brave newspapers in the world.,NR
In sympathy and solidarity with @Charlie_Hebdo_  #CharlieHebdo,NR
"When an ideology resorts to murdering satirists, it is publically admitting how weak, insecure &amp; ridiculous it is. #CharlieHebdo",NR
Follow this list for journalists &amp; media outlets covering the attack on #CharlieHebdo magazine in Paris: ,NR
Lets play a game. This will be blamed on (a) Racism of Charlie Hebdo (b) Poverty (c) Colonial France (d) Evil of Free Speech,NR
"Even for a hardened news man, today's mass shooting at #CharlieHebdo is ferociously shocking - writes @JonSnowC4",NR
Attack on #CharlieHebdo:The intl community cannot allow extremists to silence the free flow of opinions http:\/\/t.co\/1BgO8HRRbf #pressfreedom,NR
#CharlieHebdo in the eyes of #CharlieHebdo ,NR
RT #JeSuisCharlie In support of #CharlieHebdo.,NR
why has daily telegraph pixelated this Charlie Hebdo cover? Shameful,NR
The attack on Charlie Hebdo is likely to radicalize all sides in the debate about Islam and Islamism. That's what terrorists are aiming for.,NR
"The shooting at French magazine #CharlieHebdo is a hideous attack on free speech, not just in Paris but everywhere",NR
The #CharlieHebdo attack represents possibly the most direct attack by Islamists on Western ideals to date.,NR
"The extremists will benefit from an escalation, it justifies them. People who just want to coexist are thrown under the bus. #CharlieHebdo",NR
"Gunmen in #CharlieHebdo attack are on the loose, \""will (be) chased as long as necessary,\"" French President says.",NR
Video: #CharlieHebdo's editor tells Al Jazeera why they are a target [2012],NR
"TWITTER.  Charlie Hebdo is a racist publication.  Murderers murdering people are not justified in murdering people. Crazy paradox, I know.",NR
This cartoon by Robert Mankoff from The New Yorker Sept 2012.\n#CharlieHebdo,NR
The events at #CharlieHebdo won\u2019t make me discriminate against Islam. I will remain steadfast in finding all religions equally stupid,NR
Every newspaper should publish a free issue of #charliehebdo so we can all see the reason 12 people have died today.,NR
You can't kill free speech #CharlieHebdo,NR
#CharlieHebdo-an equal opportunity satirical mag in the grand tradition of #France.\nLong may that tradition continue!\n#FreedomOfSpeech,NR
#CharlieHebdo because no1 thought allowing 1000s of Euro jihadis to cross to #Syria &amp; get trained &amp; radicalized would have any consequences?,NR
"Only this, today #CharlieHebdo",NR
"If you kill men for making fun of your ideas, you need to rethink your ideas. #JeSuisCharlie"",",NR
"\Terror\"" in France: Gunmen in #CharlieHebdo attack still at large. What we know so far ",NR
"A sad day for France, for journalism, for free speech, and those whose beliefs the attackers pretend to represent  #CharlieHebdo""",NR
French media says cartoonist behind original Prophet cartoon is dead #CharlieHebdo via @EricWRandolph,NR
People who have actually died of being offended: 0\nPeople who have died because others were offended: far too many.\n#CharlieHebdo,NR
Journalists and others using #JeSuisCharlie to express support for freedom of speech after Paris attack ,NR
"#CharlieHebdo massacre: modus operandi, efficiency &amp; focus point to jihad returnees, guys trained to kill repeatedly not one-time kamikazes",NR
"Anyone that believes tolerance is the solution to militant islam, remember this picture.  #CharlieHebdo ",NR
Stop making excuses for terrorists. #CharlieHebdo tweeted this before Christmas and there'll be no avenging Jesus.,NR
My timeline is full of Muslims condemning #CharlieHebdo attacks - just like the rest of the world.,NR
"Second thought: Only way to pay respect to those who died is by defending the rights that Charlie Hebdo defended, and in as upfront a way.",NR
"Before the brutal attacks on #CharlieHebdo, the big news today was Houellebecq's new novel imagining a Muslim president of France in 2022",NR
Here's what we know about the #CharlieHebdo attack so far,NR
"Attack on #CharlieHebdo is \""brazen assault on free expression in the heart of Europe\"" says @RobertMMahoney",NR
This is not in the name of Islam. These ppl don't represent ANY religion. No matter what they say. Disgraceful &amp; heartbreaking #CharlieHebdo,NR
"In reporting the #CharlieHebdo terrorist attack, @Telegraph blurs out the French mag's cover cartoon of Mohammed",NR
"We condemn the attack in #Paris and pray for soonest recovery for the injured and patience to families &amp; people of France. #CharlieHebdo""",NR
"ust waiting for @BarackObama, @David_Cameron and @JustinTrudeau to say: \""#CharlieHebdo massacre in Paris had nothing to do with Islam.",NR
"#NATO SG statement on terrorist attack in #Paris, #France ",NR
No more hand-wringing and fence-sitting. To support #CharlieHebdo and #FreedomOfSpeech we must publish their images,NR
#CharlieHebdo: what we know so far ,NR
"Shooting at #CharlieHebdo \""an attack on freedom\"", says Dominque Moisi, Parisian political analyst",NR
"World leaders condemn the #CharlieHebdo attack as \""barbaric\"", \""sickening\"" and \""intolerable",NR
"Horrific news re Charlie Hebdo. People of huge courage, wit and integrity murdered by people who find those ideas frightening. Awful",NR
"Killing innocent people in the name of Islam is much, much more offensive to me than any cartoon can ever be. #CharlieHebdo"",",NR
"""Make Fun of Hindu God's #PK = Creativity , Freedom of Expression\nMake Fun of A Prophet = 12 killed \n\n#CharlieHebdo",NR
#CharlieHebdo massacre: 'Attack will heighten anti-Islamic tensions across Europe',NR
"Hours before the attack, #CharlieHebdo published a cartoon featuring the Islamic State",NR
"it'll be fascinating to see how all the topical satire shows on British TV respond to the #CharlieHebdo murders. Oh no, hang on...",NR
If we submit to extremists this Cartoon by Robert Mankoff from The New Yorker will be the norm. #CharlieHebdo ,NR
Thousands tweeting #JeSuisCharlie in support of #CharlieHebdo. ,NR
"If we hate after atrocities like this, we're doing exactly what the perpetrators want us to do #CharlieHebdo",NR
The car used by armed gunmen who stormed the Paris offices of satirical newspaper #CharlieHebdo Photo D. Faget #AFP ,NR
"Gunmen responsible for deadly attack on #CharlieHebdo are still on the loose, @fhollande says.",NR
Pray for the victims. Deadly terrorist attack on French magazine Charlie Hebdo in Paris #FreePress,NR
"This doesn't represent all Muslims, but, sorry, it does represent the official Islamic school of a certain key Arab state. #CharlieHebdo""",NR
RIP #CharlieHebdo jihadist terrorist victims.This is why I'd tweeted it was so important for Muslims to openly *not* be offended by cartoons,NR
"I do not agree with what you have to say, but I'll defend to the death your right to say it.\"" -Voltaire #FreeSpeech  #JeSuisCharlie",NR
Deeply disturbed and saddened by yet another Islamist massacre. \nShame on religion.  #CharlieHebdo #ParisShooting\n.,NR
Single finger raised by #CharlieHebdo gunman looks like what ISIS fighters often do in battle,NR
"You can kill journalists, cartoonists. You can't kill the freedom of the press. You have only made their message stronger. #JeSuisCharlie",NR
Charlie Hebdo attack: what we know so far  \u2013 live updates http:\/\/t.co\/FzR7qMoeKB @claire_phipps,NR
We can never allow the barbaric savagery of islamic extremism to defeat our right to free speech. \n#CharlieHebdo,NR
"A terrorist might appear from among Muslims, but then he loses the qualities that make him Muslim.  #CharlieHebdo ",NR
"Instead of focusing on the recent dead in Paris, we should keep in mind that Islamists have committed 24,784 deadly attacks since 9\/11.",NR
You can twist and turn it as you like: Publishing cartoons is not a crime. Using them as an excuse for religious fascism is. #CharlieHebdo,NR
"Third thought: defending the rights that Charlie Hebdo defended means defending free speech, not attacking Muslims",NR
"BBC reporter noting that Charlie Hebdo also mocks Christians, Jews and atheists. Oddly, though, those groups don't seem to bomb them",NR
"My family is French. My family is Muslim. I am a journalist. We are grieving. #CharlieHebdo""",NR
"Press \""must stand together to send the message that murderous attempts to silence us will not stand\"" #CharlieHebdo",NR
Simply put by our French colleagues in solidarity with the journalists of #CharlieHebdo,NR
"Let there be more, not less.  #CharlieHebdo",NR
"Real Muslims have never seen, and cannot see #terrorism as a way for solving their problems. #CharlieHebdo",NR
"#CHARLIEHEBDO SHOOTING: Gunmen still at large, manhunt underway - LIVE UPDATES",NR
"Our statement on the Charlie Hebdo attack: defend freedom of speech, resist hatred.",NR
How the terrorists win: @Telegraph is now blurring the cover Mohammed cartoon of #CharlieHebdo in its reporting ,NR
Freedom of expression is non-negotiable - http://t.co/c8Fm7F6c1k via @IndexCensorship\n#jesuischarlie,NR
"When free speach die, we die. All thoughts to #CharlieHebdo who on this issue wrote \""Love is stronger than hate",NR
The Ahmadiyya Muslim Community categorically condemns the attack at Charlie Hebdo. Our thoughts are with the victims,NR
"A brief history of Charlie Hebdo, the satirical magazine at the centre of today's terror attack in Paris ",NR
The world would be a far better place if all religious fanatics followed this advice\n#CharlieHebdo,NR
Please don't watch or share the video of  execution of a policeman. Spare a thought for his family and all innocents killed. #CharlieHebdo,NR
World\u2019s Press Condemns Attack Against #CharlieHebdo #jesuischarlie,NR
"Thoughts with those affected by #CharlieHebdo attack, particularly those brave #police colleagues killed in the line of duty. #policefamily""",NR
Map showing the location of the #CharlieHebdo offices and the direction the attackers fled,NR
"Today, as journalists \""bravely\"" voice support for #CharlieHebdo, ask them for their piece calling on Yale to publish the Muhammad cartoons",NR
A real Muslim cannot be a terrorist.,NR
France is at its highest possible terror threat level after the #CharlieHebdo attack. ,NR
"George Orwell: \u201cIf liberty means anything at all, it means the right to tell people what they do not want to hear.\"" #CharlieHebdo""",NR
"I am shaking with rage at the attack on Charlie Hebdo. It's an attack on the free world. The entire free world should respond, ruthlessly.",NR
Stop hijacking our faith you crazed murderers!\n\nThoughts and prayers with victims &amp; their families,NR
Either we insist to coexist or we're all going to lose. #CharlieHebdo,NR
"Best journalistic answer to terrorist attack on #CharlieHebdo is for news outlets to publish #CharlieHebdo cartoons on  websites/front pages""",NR
"Charlie Hebdo, the magazine that dared to poke fun at religion ",NR
"George Orwell: \u201cIf liberty means anything at all, it means the right to tell people what they do not want to hear.",NR
Paris terror attack: What you need to know about Charlie Hebdo,NR
Here's a rundown of the cartoons the #Muslim savages in Paris just slaughtered 12 people over:,NR
"I have never once in my life seen a fanatic with a sense of humor.\"" --Amos Oz #CharlieHebdo""",NR
"CharlieHebdo editor wasn't afraid: \""If [extremists] are not amused by our cartoons, they don't need to buy\"" them. ",NR
A tragic day for the freedom of speech #jesuischarlie ,NR
CharlieHebdo attack: terrified witness films masked gunmen shooting man on pavement,NR
JeSuisCharlie trends as social media users express solidarity over Charlie Hebdo attack,NR
Every paper or magazine ON EARTH should reprint Charlie Hebdo's 'offending' cartoon tomorrow. They haven't got enough bullets for all of us.,NR
Shooting at Paris office of #CharlieHebdo magazine ranks as one of the deadliest attacks on Paris in 20 years.,NR
"Strongly condemn the terrorist attack on media office in Paris; terror &amp; violence have no place in any corner of world #PresidentMukherjee"", ",NR
"This is a time to stand with the victims, condemn terror, and remind people of Breivik, Mcveigh and others. #perspective #CharlieHebdo""",NR
"The pen is mightier than the sword, and the cowards were afraid of it. So don't stop writing. #JeSuisCharlie #CharlieHebdo""",NR
"#CharlieHebdo  journalist: \""We want to laugh at the extremists\u2014every extremist. They can be Muslim, Jewish, Catholic\",NR
Video posted online appears to show gunmen fleeing after attack on #CharlieHebdo  magazine office in Paris ,NR
#charliehebdo @GLove39: The world would be a far better place if all religious fanatics followed this advice ,NR
French forensic experts examine car used by armed gunmen who stormed offices of Charlie Hebdo ,NR
A crowd gathered in Toulouse for the national moment of silence for the #CharlieHebdo victims,NR
Satire is a symptom of a healthy society and always a prime target for fundamentalism. There is no 'right not to be offended' #CharlieHebdo,NR
"As a Muslim, I absolutely refuse to apologize for this terrorist act. But as a Muslim,I demand justice for the victims&amp; say: #JeSuisCharlie",NR
Too many news organisations now showing online footage of killings at #CharlieHebdo office but not the cartoons for which they were murdered,NR
In solidarity with all the journalists pursuing their profession and freedom of speech. #CharlieHebdo ,NR
Absolutely heartbreaking what has happened! Twitter users show solidarity to #CharlyHebdo by using #JeSuisCharlie ,NR
French media calling #CharlieHebdo attack the worst attack in France in decades ,NR
"Somewhere, Marine Le Pen is planning her presidential inauguration &amp; figuring out where Putin's guest of honor seat will be. #CharlieHebdo""",NR
The right to offend and satirise is  essential in any society #CharlieHebdo. Our statement: ,NR
"u201cIf liberty means anything at all, it means the right to tell people what they do not want to hear.\u201d #CharlieHebdo",NR
Photos from the scene of the Paris shooting at #CharlieHebdo office: ,NR
"@acarvin last #CharlieHebdo cartoon: \""Still no attack in France. Wait! We have 'til january end to send 2015 wishes.",NR
RIP #CharlieHebdo staff who paid w\/ their lives for defending freedom of the press we all benefit from. True heroes.,NR
he world needs this viewpoint a lot more. ,NR
Here\u2019s a gallery of some of the more famous covers by #CharlieHebdo that got people riled up,NR
Yes this is about victims. It's also about how our communities reform &amp; abolish blasphemy codes. We mustn't run from scrutiny ,NR
"Charlie Hebdo\u2019s editor:  \""When activists need a pretext to justify their violence, they always find it",NR
The Roots of Evil #CharlieHebdo,NR
You shouted 'Allahu Akber' whilst murdering others? You are a disgrace to my religion. May the dead rest in peace #notinmyname #charliehebdo,NR
#CharlieHebdo attack latest: Footage shows Paris gunmen on rampage as policeman is shot ,NR
"Islam, \""the religion of peace, \""is a violent murderous death cult and should be treated as such. #CharlieHebdo ",NR
"It didn't take that long. The first Pakistani to say, #CharlieHebdo massacre has nothing to with Islam, has emerged",NR
It is a horrifying thought that people in our world would prefer to kill rather than allow critcism,NR
"Liberty, equality and fraternity. Freedom of the press, the satire and humor. #JeSuisCharlie",NR
"To all my Muslim friends: you don't need to apologize for the #CharlieHebdo attack in Paris. A criminal committed a crime, not Islam.",NR
"What Charlie Hebdo does, and why terrorists use it as \""a pretext to justify their violence.\"" By @emserre, from 2012.",NR
"Now, thousands are expressing their feelings on today's events in France with pictures like this #JeSuisCharlie",NR
"Love is stronger than hate\"": #CharlieHebdo cover after Molotov cocktail attack on its offices in 2011 ",NR
"It says much that men with guns feel quite so threatened by people with pens. #CharlieHebdo""",NR
Terrorists shoot officer in Paris during terrorist attack at Charlie Hebdo ,NR
New video reportedly shows masked gunmen opening fire at the offices of satirical French magazine #CharlieHebdo.,NR
NUJ on Charlie Hebdo killings: assassination of journalists and an attempt to assassinate the free press.,NR
Tonight 7PM: mobilization for #CharlieHebdo freedom of press and democracy on Place de la R\u00e9publique in #Paris ,NR
In solidarity with freedom of speech and religion and #CharlieHebdo we should all tweet #NoNegotiationswithTerrorists,NR
Irony is that this week's cover of Charlie Hebdo is an attack against Islamophobe writer Houellebecq ,NR
Paris shoot-out: the shocking images of the terrorist attack against satyrical weekly,NR
"u201cIf liberty means anything at all, it means the right to tell people what they do not want to hear.\"" #CharlieHebdo ",NR
"Absurdly, I'm told this is not time to talk about reforming Muslim attitudes to \""blasphemy\"". Seriously. What planet are we on? #CharlieHebdo""",NR
Remember this? Those men died for our right to freedom of speech. Don't let that sacrifice be in vain. #CharlieHebdo,NR
Not in our name \u2013 Muslims respond in revulsion to #CharlieHebdo shooting. ,NR
"I'm speechless, what a cruel attack on pressfreedom! All newspapers should publish #CharlieHebdo cartoons tomorrow",NR
"On the darkest of days, like this, the French philosopher Voltaire perhaps say it best: #CharlieHebdo",NR
"Cartoonists are on the frontline defending freedom of expression. My thoughts are w the #CharlieHebdo vitims, their loved ones &amp; colleagues",NR
Charlie Hebdo's Last Tweet Spoofed ISIS Leader Al-Baghdadi ,NR
"CharlieHebdo French Islamic leaders at scene to condemn the attack. \""They have hit us all. We are all victims. These people are a minority",NR
Assange: The world must now avenge Charlie Hebdo by swiftly republishing all their cartoons. Censorship attacks are a losing move.,NR
"The gunmen responsible will be \""chased as long as necessary",NR
Here comes another Pakistani's take #CharlieHebdo. How does one country produce so many brilliant minds?,NR
The #CharlieHebdo assassinations suggest that anyone who has offended or challenged #Islamism is now at potential risk of being murdered,NR
"CharlieHebdo imam of drancy, Paris, condemns attack, says it has nothing to do with Islam, calls on Muslim \""silent majority\"" to condemn it"", ",NR
"The shooting @ \""Charlie Hebdo\"", in France, is a horrible tragedy. Ignorance, hatred and cowardice has no religion, no political allegiance.",NR
"Cartoon from The New Yorker, September 2012 #CharlieHebdo",NR
Journalists and policemen are among the victims in the #CharlieHebdo attack,NR
"We condemn today's horrific attacks in #Paris. Our condolences and support go to the people of France, the victims, and their families.",NR
Terrorists have opened fire in the Charlie Hebdo newsroom in Paris killing twelve people and wounding many others,NR
"Remember that #CharlieHebdo, like Theo Van Gogh, criticized ALL religions and people, not just #Islam and #Muslims!",NR
Look at the best of Charlie Hebdo's covers right here ,NR
"Michelle Stanistreet, general secretary of the National Union of Journalists (UK) on the #CharlieHebdo attack",NR
"The Last Picture of #CharlieHebdo' Victim. \""No Terrorists Attack in #France Yet - Wait The End of 2015's Greetings",NR
"Update - The editor-in-chief of #CharlieHebdo Gerard Biard says a \""newspaper is not a weapon of war\"" #Paris""",NR
"If you kill men for making fun of your ideas, you need to rethink your ideas. #JeSuisCharlie",NR
"If you're a media outlet reporting on #CharlieHebdo and blurring out the cartoons you're reporting on, you're doing journalism wrong.",NR
"As we watch the horror of the terror attacks in Paris, consider this: \n\nOur President continues to release these assholes from Gitmo.",NR
White House speaking notes:\n1. #CharlieHebdo not about Islam\n2. Killers mentally unstable\n3. Terror has no religion\n4. Muslims fear backlash,NR
CharlieHebdo - Paris media attack kills 4 cartoonists including chief editor. #AFP,NR
Love is stronger than hate,NR
That oil-hungry #CharlieHebdo with its murderous foreign policy.religionofpeace,NR
Mumbai lawyer Vijay Gaekwad in jail for blaspheming the prophet.No mention in msm as far as I'm aware. #CharlieHebdo,NR
"Public schools are closed, France raises terror alert to highest level after attack ",NR
MaryamRajavi strongly condemns criminal attack in Paris and offers her condolences to French Government and people,NR
"I would rather die standing up, than live life on my knees. #JeSuisCharlie #IamCharlie",NR
French Justice Minister C.Taubira reacts outside of the headquarters of the satirical newspaper #CharlieHebdo #AFP ,NR
"If (like me) you teased #KirbyDelauter, step up your free-speech game and print a #CharlieHebdo image unblurred. ",NR
"MaryamrajaviI offer my condolences to families of the victims, French Government and people in this tragic attack #CharlieHebdo",NR
"In this difficult time, People of Iran and their resistance movement stand by people of France and bereaved families #CharlieHebdo #Paris"",",NR
Follow the latest updates on the deadly shooting at the Paris offices of the satirical newspaper Charlie Hebdo ,NR
An eyewitness video shows a gunman shooting a police officer and driving away.,NR
CharlieHebdo - Paris media attack kills 4 cartoonists including chief editor.,NR
At least 12 dead in terrorist attack at satirical magazine in Paris.,NR
The New Yorker cartoon following the #CharlieHebdo incident. ,NR
The people tweeting from the scene of the #CharlieHebdo attack,NR
Horrific footage shows police officer begging for his life before gunman shoots him in the head,NR
